#Organism/Name	TaxID	BioProject Accession	BioProject ID	Group	SubGroup	Size (Mb)	GC%	Replicons	WGS	Scaffolds	Genes	Proteins	Release Date	Modify Date	Status	Center	BioSample Accession	Assembly Accession	Reference	FTP Path	Pubmed ID	Strain
Mycobacterium tuberculosis TKK_04_0067	1448471	PRJNA235476	235476	Terrabacteria group	Actinomycetota	4.41526	65.6	-	JJXU01	4	4155	3933	2014/04/29	2022/06/05	Scaffold	Broad Institute	SAMN02585966	GCA_000652555.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/652/555/GCA_000652555.1_Myco_tube_TKK_04_0067_V1	-	TKK_04_0067
Mycobacterium tuberculosis TKK_04_0045	1397934	PRJNA218306	218306	Terrabacteria group	Actinomycetota	4.41355	65.5	-	JLTB01	3	4155	3931	2014/04/30	2022/06/19	Scaffold	Broad Institute	SAMN02350489	GCA_000673355.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/673/355/GCA_000673355.1_Myco_tube_TKK_04_0045_V1	-	TKK_04_0045
Mycobacterium tuberculosis BTB08-362	1423493	PRJNA229274	229274	Terrabacteria group	Actinomycetota	4.39178	65.6	-	JKFC01	7	4134	3908	2014/04/30	2022/06/18	Scaffold	Broad Institute	SAMN02414909	GCA_000678355.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/678/355/GCA_000678355.1_Myco_tube_BTB08-362_V1	-	BTB08-362
Mycobacterium tuberculosis BTB08-309	1423490	PRJNA229271	229271	Terrabacteria group	Actinomycetota	4.37155	65.6	-	JKFE01	2	4107	3892	2014/04/30	2022/06/18	Scaffold	Broad Institute	SAMN02414906	GCA_000678315.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/678/315/GCA_000678315.1_Myco_tube_BTB08-309_V1	-	BTB08-309
Mycobacterium tuberculosis TB_RSA92	1422008	PRJNA228086	228086	Terrabacteria group	Actinomycetota	4.40624	65.5	-	JKUA01	5	4133	3911	2014/04/30	2022/06/18	Scaffold	Broad Institute	SAMN02403533	GCA_000675155.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/675/155/GCA_000675155.1_Myco_tube_TB_RSA92_V1	-	TB_RSA92
Mycobacterium tuberculosis TB_RSA04	1421920	PRJNA227998	227998	Terrabacteria group	Actinomycetota	4.40548	65.6	-	JKXI01	9	4142	3901	2014/04/29	2022/06/17	Scaffold	Broad Institute	SAMN02403445	GCA_000669915.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/669/915/GCA_000669915.1_Myco_tube_TB_RSA04_V1	-	TB_RSA04
Mycobacterium tuberculosis BTB05-660	1423451	PRJNA229232	229232	Terrabacteria group	Actinomycetota	4.42226	65.6	-	JKGR01	7	4162	3939	2014/04/30	2022/06/18	Scaffold	Broad Institute	SAMN02414867	GCA_000677595.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/677/595/GCA_000677595.1_Myco_tube_BTB05-660_V1	-	BTB05-660
Mycobacterium tuberculosis OFXR-19	1402589	PRJNA221507	221507	Terrabacteria group	Actinomycetota	4.40168	65.5	-	JLBV01	3	4153	3923	2014/04/29	2022/06/17	Scaffold	Broad Institute	SAMN02364082	GCA_000667975.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/667/975/GCA_000667975.1_Myco_tube_OFXR-19_V1	-	OFXR-19
Mycobacterium tuberculosis OFXR-23	1402593	PRJNA221511	221511	Terrabacteria group	Actinomycetota	4.39934	65.6	-	JLBR01	3	4132	3879	2014/04/29	2022/06/17	Scaffold	Broad Institute	SAMN02364086	GCA_000668055.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/668/055/GCA_000668055.1_Myco_tube_OFXR-23_V1	-	OFXR-23
Mycobacterium tuberculosis TKK_03_0035	1448397	PRJNA235402	235402	Terrabacteria group	Actinomycetota	4.42121	65.5	-	JJZZ01	4	4145	3930	2014/04/29	2022/06/05	Scaffold	Broad Institute	SAMN02585892	GCA_000651455.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/651/455/GCA_000651455.1_Myco_tube_TKK_03_0035_V1	-	TKK_03_0035
Mycobacterium tuberculosis XTB13-245	1427314	PRJNA229712	229712	Terrabacteria group	Actinomycetota	4.43626	65.6	-	JLHK01	11	4158	3906	2014/04/29	2022/06/07	Scaffold	Broad Institute	SAMN02419670	GCA_000656115.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/656/115/GCA_000656115.1_Myco_tube_XTB13-245_V1	-	XTB13-245
Mycobacterium tuberculosis UT0030	1408918	PRJNA223550	223550	Terrabacteria group	Actinomycetota	4.41261	65.6	-	JLPX01	11	4150	3929	2014/04/29	2022/06/17	Scaffold	Broad Institute	SAMN02380995	GCA_000668255.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/668/255/GCA_000668255.1_Myco_tube_UT0030_V1	-	UT0030
Mycobacterium tuberculosis TKK_03_0082	1397906	PRJNA218278	218278	Terrabacteria group	Actinomycetota	4.40963	65.6	-	JLUD01	4	4142	3935	2014/04/30	2022/06/18	Scaffold	Broad Institute	SAMN02350461	GCA_000672795.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/672/795/GCA_000672795.1_Myco_tube_TKK_03_0082_V1	-	TKK_03_0082
Mycobacterium tuberculosis XTB13-211	1427288	PRJNA229686	229686	Terrabacteria group	Actinomycetota	4.39376	65.6	-	JLIK01	2	4124	3908	2014/04/29	2022/06/07	Scaffold	Broad Institute	SAMN02419644	GCA_000655595.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/655/595/GCA_000655595.1_Myco_tube_XTB13-211_V1	-	XTB13-211
Mycobacterium tuberculosis OFXR-18	1402588	PRJNA221506	221506	Terrabacteria group	Actinomycetota	4.40333	65.6	-	JLBW01	4	4142	3929	2014/04/29	2022/06/17	Scaffold	Broad Institute	SAMN02364081	GCA_000667955.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/667/955/GCA_000667955.1_Myco_tube_OFXR-18_V1	-	OFXR-18
Mycobacterium tuberculosis MAL020147	1354128	PRJNA211691	211691	Terrabacteria group	Actinomycetota	4.41201	65.6	-	JKZA01	4	4150	3927	2014/04/29	2022/06/17	Scaffold	Broad Institute	SAMN02231158	GCA_000667145.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/667/145/GCA_000667145.1_Myco_tube_MAL020147_V1	-	MAL020147
Mycobacterium tuberculosis BTB09-184	1423504	PRJNA229285	229285	Terrabacteria group	Actinomycetota	4.41866	65.5	-	JKER01	5	4138	3896	2014/04/30	2022/06/18	Scaffold	Broad Institute	SAMN02414920	GCA_000678555.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/678/555/GCA_000678555.1_Myco_tube_BTB09-184_V1	-	BTB09-184
Mycobacterium tuberculosis TKK_03_0026	1397893	PRJNA218265	218265	Terrabacteria group	Actinomycetota	4.42198	65.6	-	JLUP01	4	4157	3934	2014/04/30	2022/06/18	Scaffold	Broad Institute	SAMN02350448	GCA_000672555.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/672/555/GCA_000672555.1_Myco_tube_TKK_03_0026_V1	-	TKK_03_0026
Mycobacterium tuberculosis TKK_03_0115	1448449	PRJNA235454	235454	Terrabacteria group	Actinomycetota	4.41609	65.5	-	JJYO01	2	4129	3901	2014/04/29	2022/06/05	Scaffold	Broad Institute	SAMN02585944	GCA_000652175.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/652/175/GCA_000652175.1_Myco_tube_TKK_03_0115_V1	-	TKK_03_0115
Mycobacterium tuberculosis M1232	1448638	PRJNA235649	235649	Terrabacteria group	Actinomycetota	4.42291	65.6	-	JKPC01	6	4144	3905	2014/04/29	2022/06/07	Scaffold	Broad Institute	SAMN02598984	GCA_000654755.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/654/755/GCA_000654755.1_Myco_tube_M1232_V1	-	M1232
Mycobacterium tuberculosis XTB13-227	1427298	PRJNA229696	229696	Terrabacteria group	Actinomycetota	4.40048	65.6	-	JLIA01	5	4132	3915	2014/04/29	2022/06/07	Scaffold	Broad Institute	SAMN02419654	GCA_000655795.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/655/795/GCA_000655795.1_Myco_tube_XTB13-227_V1	-	XTB13-227
Mycobacterium tuberculosis XTB13-210	1427287	PRJNA229685	229685	Terrabacteria group	Actinomycetota	4.42988	65.5	-	JLIL01	3	4143	3895	2014/04/29	2022/06/07	Scaffold	Broad Institute	SAMN02419643	GCA_000655575.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/655/575/GCA_000655575.1_Myco_tube_XTB13-210_V1	-	XTB13-210
Mycobacterium tuberculosis M1023	1448625	PRJNA235636	235636	Terrabacteria group	Actinomycetota	4.431	65.5	-	JKPP01	5	4142	3908	2014/04/29	2022/06/07	Scaffold	Broad Institute	SAMN02598971	GCA_000654535.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/654/535/GCA_000654535.1_Myco_tube_M1023_V1	-	M1023
Mycobacterium tuberculosis TKK_03_0043	1397902	PRJNA218274	218274	Terrabacteria group	Actinomycetota	4.40456	65.5	-	JLUH01	5	4133	3897	2014/04/30	2022/06/18	Scaffold	Broad Institute	SAMN02350457	GCA_000672715.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/672/715/GCA_000672715.1_Myco_tube_TKK_03_0043_V1	-	TKK_03_0043
Mycobacterium tuberculosis TKK_03_0149	1448453	PRJNA235458	235458	Terrabacteria group	Actinomycetota	4.41343	65.5	-	JJYL01	4	4140	3901	2014/04/29	2022/06/05	Scaffold	Broad Institute	SAMN02585948	GCA_000652235.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/652/235/GCA_000652235.1_Myco_tube_TKK_03_0149_V1	-	TKK_03_0149
Mycobacterium tuberculosis UT0057	1408935	PRJNA223567	223567	Terrabacteria group	Actinomycetota	4.41889	65.5	-	JLPG01	10	4158	3938	2014/04/29	2022/06/17	Scaffold	Broad Institute	SAMN02381012	GCA_000668575.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/668/575/GCA_000668575.1_Myco_tube_UT0057_V1	-	UT0057
Mycobacterium tuberculosis TKK_04_0030	1397939	PRJNA218311	218311	Terrabacteria group	Actinomycetota	4.40729	65.5	-	JLSW01	3	4149	3936	2014/04/30	2022/06/18	Scaffold	Broad Institute	SAMN02350494	GCA_000673455.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/673/455/GCA_000673455.1_Myco_tube_TKK_04_0030_V1	-	TKK_04_0030
Mycobacterium tuberculosis BTB13-063	1423570	PRJNA229351	229351	Terrabacteria group	Actinomycetota	4.41354	65.6	-	JKCD01	5	4143	3896	2014/04/30	2022/06/18	Scaffold	Broad Institute	SAMN02414986	GCA_000679715.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/679/715/GCA_000679715.1_Myco_tube_BTB13-063_V1	-	BTB13-063
Mycobacterium tuberculosis BTB10-277	1423522	PRJNA229303	229303	Terrabacteria group	Actinomycetota	4.44605	65.6	-	JKDZ01	4	4218	3919	2014/04/30	2022/06/18	Scaffold	Broad Institute	SAMN02414938	GCA_000678815.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/678/815/GCA_000678815.1_Myco_tube_BTB10-277_V1	-	BTB10-277
Mycobacterium tuberculosis TKK_02_0003	1397855	PRJNA218227	218227	Terrabacteria group	Actinomycetota	4.41696	65.5	-	JLWA01	5	4138	3898	2014/04/30	2022/06/17	Scaffold	Broad Institute	SAMN02350410	GCA_000671815.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/671/815/GCA_000671815.1_Myco_tube_TKK_02_0003_V1	-	TKK_02_0003
Mycobacterium tuberculosis TKK_02_0046	1397877	PRJNA218249	218249	Terrabacteria group	Actinomycetota	4.41558	65.5	-	JLVF01	6	4147	3901	2014/04/30	2022/06/18	Scaffold	Broad Institute	SAMN02350432	GCA_000672235.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/672/235/GCA_000672235.1_Myco_tube_TKK_02_0046_V1	-	TKK_02_0046
Mycobacterium tuberculosis OFXR-11	1295803	PRJNA191015	191015	Terrabacteria group	Actinomycetota	4.40218	65.6	-	JLCD01	5	4122	3883	2014/04/29	2022/06/07	Scaffold	Broad Institute	SAMN01925697	GCA_000660125.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/660/125/GCA_000660125.1_Myco_tube_OFXR-11_V1	-	OFXR-11
Mycobacterium tuberculosis XTB13-238	1427308	PRJNA229706	229706	Terrabacteria group	Actinomycetota	4.41445	65.6	-	JLHQ01	10	4150	3895	2014/04/29	2022/06/07	Scaffold	Broad Institute	SAMN02419664	GCA_000655995.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/655/995/GCA_000655995.1_Myco_tube_XTB13-238_V1	-	XTB13-238
Mycobacterium tuberculosis XTB13-184	1427262	PRJNA229658	229658	Terrabacteria group	Actinomycetota	4.39068	65.6	-	JLJH01	3	4123	3919	2014/04/29	2022/06/07	Scaffold	Broad Institute	SAMN02419618	GCA_000655155.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/655/155/GCA_000655155.1_Myco_tube_XTB13-184_V1	-	XTB13-184
Mycobacterium tuberculosis TKK-01-0031	1324242	PRJNA198127	198127	Terrabacteria group	Actinomycetota	4.41621	65.5	-	JLYQ01	2	4136	3910	2014/04/29	2022/06/07	Scaffold	Broad Institute	SAMN02053765	GCA_000660725.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/660/725/GCA_000660725.1_Myco_tube_TKK-01-0031_V1	-	TKK-01-0031
Mycobacterium tuberculosis KT-0079	1400922	PRJNA219805	219805	Terrabacteria group	Actinomycetota	4.42406	65.6	-	JLRC01	3	4164	3917	2014/06/12	2022/06/18	Scaffold	Broad Institute	SAMN02360600	GCA_000706505.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/706/505/GCA_000706505.1_Myco_tube_KT-0079_V1	-	KT-0079
Mycobacterium tuberculosis TKK_04_0007	1397924	PRJNA218296	218296	Terrabacteria group	Actinomycetota	4.40829	65.5	-	JLTL01	4	4150	3933	2014/04/30	2022/06/18	Scaffold	Broad Institute	SAMN02350479	GCA_000673155.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/673/155/GCA_000673155.1_Myco_tube_TKK_04_0007_V1	-	TKK_04_0007
Mycobacterium tuberculosis M1448	1448689	PRJNA235700	235700	Terrabacteria group	Actinomycetota	4.42061	65.6	-	JKND01	6	4139	3896	2014/04/29	2022/06/17	Scaffold	Broad Institute	SAMN02599035	GCA_000663125.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/663/125/GCA_000663125.1_Myco_tube_M1448_V1	-	M1448
Mycobacterium tuberculosis XTB13-168	1427250	PRJNA229646	229646	Terrabacteria group	Actinomycetota	4.42943	65.6	-	JLJT01	3	4147	3891	2014/04/30	2022/06/18	Scaffold	Broad Institute	SAMN02419606	GCA_000681175.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/681/175/GCA_000681175.1_Myco_tube_XTB13-168_V1	-	XTB13-168
Mycobacterium tuberculosis XTB13-179	1427258	PRJNA229654	229654	Terrabacteria group	Actinomycetota	4.43301	65.6	-	JLJL01	7	4155	3896	2014/04/30	2022/06/18	Scaffold	Broad Institute	SAMN02419614	GCA_000681315.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/681/315/GCA_000681315.1_Myco_tube_XTB13-179_V1	-	XTB13-179
Mycobacterium tuberculosis M1007	1448617	PRJNA235628	235628	Terrabacteria group	Actinomycetota	4.41524	65.6	-	JKPX01	5	4137	3893	2014/04/29	2022/06/07	Scaffold	Broad Institute	SAMN02598963	GCA_000654375.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/654/375/GCA_000654375.1_Myco_tube_M1007_V1	-	M1007
Mycobacterium tuberculosis M1319	1448660	PRJNA235671	235671	Terrabacteria group	Actinomycetota	4.42678	65.5	-	JKOG01	4	4148	3915	2014/04/29	2022/06/17	Scaffold	Broad Institute	SAMN02599006	GCA_000662545.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/662/545/GCA_000662545.1_Myco_tube_M1319_V1	-	M1319
Mycobacterium tuberculosis M1481	1448698	PRJNA235709	235709	Terrabacteria group	Actinomycetota	4.42044	65.5	-	JKMU01	5	4129	3889	2014/04/29	2022/06/17	Scaffold	Broad Institute	SAMN02599044	GCA_000663305.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/663/305/GCA_000663305.1_Myco_tube_M1481_V1	-	M1481
Mycobacterium tuberculosis BTB08-022	1423481	PRJNA229262	229262	Terrabacteria group	Actinomycetota	4.38418	65.6	-	JKFN01	8	4143	3919	2014/04/30	2022/06/18	Scaffold	Broad Institute	SAMN02414897	GCA_000678135.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/678/135/GCA_000678135.1_Myco_tube_BTB08-022_V1	-	BTB08-022
Mycobacterium tuberculosis TKK_03_0042	1448402	PRJNA235407	235407	Terrabacteria group	Actinomycetota	4.40904	65.6	-	JJZU01	2	4140	3923	2014/04/29	2022/06/05	Scaffold	Broad Institute	SAMN02585897	GCA_000651555.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/651/555/GCA_000651555.1_Myco_tube_TKK_03_0042_V1	-	TKK_03_0042
Mycobacterium tuberculosis BTB10-295	1423523	PRJNA229304	229304	Terrabacteria group	Actinomycetota	4.41847	65.6	-	JKDY01	3	4150	3931	2014/04/30	2022/06/18	Scaffold	Broad Institute	SAMN02414939	GCA_000678835.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/678/835/GCA_000678835.1_Myco_tube_BTB10-295_V1	-	BTB10-295
Mycobacterium tuberculosis TKK_04_0084	1448484	PRJNA235489	235489	Terrabacteria group	Actinomycetota	4.3992	65.6	-	JJXH01	4	4145	3904	2014/04/29	2022/06/05	Scaffold	Broad Institute	SAMN02585979	GCA_000652815.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/652/815/GCA_000652815.1_Myco_tube_TKK_04_0084_V1	-	TKK_04_0084
Mycobacterium tuberculosis XTB13-186	1427264	PRJNA229660	229660	Terrabacteria group	Actinomycetota	4.43118	65.5	-	JLJG01	7	4143	3899	2014/04/29	2022/06/07	Scaffold	Broad Institute	SAMN02419620	GCA_000655175.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/655/175/GCA_000655175.1_Myco_tube_XTB13-186_V1	-	XTB13-186
Mycobacterium tuberculosis XTB13-252	1427320	PRJNA229718	229718	Terrabacteria group	Actinomycetota	4.43652	65.5	-	JLHE01	8	4159	3900	2014/04/29	2022/06/07	Scaffold	Broad Institute	SAMN02419676	GCA_000656235.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/656/235/GCA_000656235.1_Myco_tube_XTB13-252_V1	-	XTB13-252
Mycobacterium tuberculosis MAL020199	1354109	PRJNA211716	211716	Terrabacteria group	Actinomycetota	4.41369	65.6	-	JKYC01	4	4149	3929	2014/04/29	2022/06/17	Scaffold	Broad Institute	SAMN02231183	GCA_000667625.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/667/625/GCA_000667625.1_Myco_tube_MAL020199_V1	-	MAL020199
Mycobacterium tuberculosis TB_RSA192	1422106	PRJNA228185	228185	Terrabacteria group	Actinomycetota	4.41089	65.5	-	JKQM01	7	4134	3896	2014/04/30	2022/06/18	Scaffold	Broad Institute	SAMN02403631	GCA_000676995.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/676/995/GCA_000676995.1_Myco_tube_TB_RSA192_V1	-	TB_RSA192
Mycobacterium tuberculosis KT-0026	1400887	PRJNA219770	219770	Terrabacteria group	Actinomycetota	4.39033	65.6	-	JLRZ01	4	4138	3900	2014/04/30	2022/06/18	Scaffold	Broad Institute	SAMN02360565	GCA_000673795.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/673/795/GCA_000673795.1_Myco_tube_KT-0026_V1	-	KT-0026
Mycobacterium tuberculosis TKK-01-0028	1324239	PRJNA198124	198124	Terrabacteria group	Actinomycetota	4.41061	65.6	-	JLYT01	7	4141	3939	2014/04/29	2022/06/07	Scaffold	Broad Institute	SAMN02053762	GCA_000660665.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/660/665/GCA_000660665.1_Myco_tube_TKK-01-0028_V1	-	TKK-01-0028
Mycobacterium tuberculosis TKK-01-0016	1324232	PRJNA198117	198117	Terrabacteria group	Actinomycetota	4.39856	65.6	-	JLZF01	7	4137	3930	2014/04/29	2022/06/07	Scaffold	Broad Institute	SAMN02053755	GCA_000660525.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/660/525/GCA_000660525.1_Myco_tube_TKK-01-0016_V1	-	TKK-01-0016
Mycobacterium tuberculosis MAL020179	1354119	PRJNA211704	211704	Terrabacteria group	Actinomycetota	4.42342	65.6	-	JKYO01	6	4166	3941	2014/04/29	2022/06/17	Scaffold	Broad Institute	SAMN02231171	GCA_000667385.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/667/385/GCA_000667385.1_Myco_tube_MAL020179_V1	-	MAL020179
Mycobacterium tuberculosis TB_RSA122	1422038	PRJNA228117	228117	Terrabacteria group	Actinomycetota	4.41986	65.6	-	JKSZ01	4	4157	3933	2014/04/30	2022/06/18	Scaffold	Broad Institute	SAMN02403563	GCA_000675695.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/675/695/GCA_000675695.1_Myco_tube_TB_RSA122_V1	-	TB_RSA122
Mycobacterium tuberculosis INS_SEN	1441926	PRJNA232702	232702	Terrabacteria group	Actinomycetota	4.37929	65.6	-	JAQH01	18	4129	3914	2014/01/28	2022/06/05	Contig	Instituto Nacional de Salud	SAMN02641515	GCA_000526115.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/526/115/GCA_000526115.1_reference_map	24578269	INS_SEN
Mycobacterium tuberculosis MAL020162	1354134	PRJNA211697	211697	Terrabacteria group	Actinomycetota	4.41994	65.5	-	JKYU01	5	4139	3924	2014/04/29	2022/06/17	Scaffold	Broad Institute	SAMN02231164	GCA_000667265.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/667/265/GCA_000667265.1_Myco_tube_MAL020162_V1	-	MAL020162
Mycobacterium tuberculosis OFXR-3	1295798	PRJNA191010	191010	Terrabacteria group	Actinomycetota	4.42488	65.5	-	JLCL01	4	4149	3931	2014/04/29	2022/06/07	Scaffold	Broad Institute	SAMN01925692	GCA_000660025.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/660/025/GCA_000660025.1_Myco_tube_OFXR-3_V1	-	OFXR-3
Mycobacterium tuberculosis MAL020142	1354124	PRJNA211687	211687	Terrabacteria group	Actinomycetota	4.41434	65.6	-	JKZE01	7	4148	3927	2014/04/29	2022/06/17	Scaffold	Broad Institute	SAMN02231154	GCA_000667065.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/667/065/GCA_000667065.1_Myco_tube_MAL020142_V1	-	MAL020142
Mycobacterium tuberculosis TKK_04_0008	1397925	PRJNA218297	218297	Terrabacteria group	Actinomycetota	4.41295	65.5	-	JLTK01	3	4153	3933	2014/04/30	2022/06/18	Scaffold	Broad Institute	SAMN02350480	GCA_000673175.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/673/175/GCA_000673175.1_Myco_tube_TKK_04_0008_V1	-	TKK_04_0008
Mycobacterium tuberculosis TB_RSA138	1422054	PRJNA228133	228133	Terrabacteria group	Actinomycetota	4.41073	65.6	-	JKSJ01	7	4157	3937	2014/04/30	2022/06/18	Scaffold	Broad Institute	SAMN02403579	GCA_000676015.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/676/015/GCA_000676015.1_Myco_tube_TB_RSA138_V1	-	TB_RSA138
Mycobacterium tuberculosis TKK_03_0106	1448440	PRJNA235445	235445	Terrabacteria group	Actinomycetota	4.42702	65.6	-	JJYV01	7	4151	3942	2014/04/29	2022/06/05	Scaffold	Broad Institute	SAMN02585935	GCA_000652035.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/652/035/GCA_000652035.1_Myco_tube_TKK_03_0106_V1	-	TKK_03_0106
Mycobacterium tuberculosis BTB08-288	1423489	PRJNA229270	229270	Terrabacteria group	Actinomycetota	4.4043	65.6	-	JKFF01	2	4134	3914	2014/04/30	2022/06/18	Scaffold	Broad Institute	SAMN02414905	GCA_000678295.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/678/295/GCA_000678295.1_Myco_tube_BTB08-288_V1	-	BTB08-288
Mycobacterium tuberculosis TKK_03_0098	1448432	PRJNA235437	235437	Terrabacteria group	Actinomycetota	4.40112	65.6	-	JJZC01	5	4151	3933	2014/04/29	2022/06/05	Scaffold	Broad Institute	SAMN02585927	GCA_000651915.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/651/915/GCA_000651915.1_Myco_tube_TKK_03_0098_V1	-	TKK_03_0098
Mycobacterium tuberculosis TB_RSA45	1421961	PRJNA228039	228039	Terrabacteria group	Actinomycetota	4.39925	65.6	-	JKVT01	5	4134	3897	2014/04/29	2022/06/17	Scaffold	Broad Institute	SAMN02403486	GCA_000670735.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/670/735/GCA_000670735.1_Myco_tube_TB_RSA45_V1	-	TB_RSA45
Mycobacterium tuberculosis TKK-01-0033	1324243	PRJNA198128	198128	Terrabacteria group	Actinomycetota	4.4072	65.6	-	JLYO01	2	4130	3909	2014/04/29	2022/06/07	Scaffold	Broad Institute	SAMN02053766	GCA_000660745.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/660/745/GCA_000660745.1_Myco_tube_TKK-01-0033_V1	-	TKK-01-0033
Mycobacterium tuberculosis OFXR-8	1402585	PRJNA221503	221503	Terrabacteria group	Actinomycetota	4.40378	65.6	-	JLCG01	7	4133	3894	2014/04/29	2022/06/17	Scaffold	Broad Institute	SAMN02364078	GCA_000667905.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/667/905/GCA_000667905.1_Myco_tube_OFXR-8_V1	-	OFXR-8
Mycobacterium tuberculosis XTB13-228	1427299	PRJNA229697	229697	Terrabacteria group	Actinomycetota	4.4324	65.6	-	JLHZ01	5	4156	3893	2014/04/29	2022/06/07	Scaffold	Broad Institute	SAMN02419655	GCA_000655815.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/655/815/GCA_000655815.1_Myco_tube_XTB13-228_V1	-	XTB13-228
